image_id,healthy,multiple_diseases,rust,scab
Test_851,0.0,0.0,0.0,1.0
Test_530,1.0,0.0,0.0,0.0
Test_1267,0.0,0.0,0.0,1.0
Test_404,0.0,0.0,0.0,1.0
Test_335,1.0,0.0,0.0,0.0
Test_1784,0.0,0.0,1.0,0.0
Test_185,0.0,0.0,0.0,1.0
Test_658,1.0,0.0,0.0,0.0
Test_1208,0.0,0.0,0.0,1.0
Test_1395,0.0,0.0,1.0,0.0
Test_528,0.0,0.0,1.0,0.0
Test_911,0.0,0.0,0.0,1.0
Test_151,0.0,0.0,1.0,0.0
Test_1068,0.0,0.0,0.0,1.0
Test_1066,0.0,0.0,0.0,1.0
Test_1649,0.0,0.0,1.0,0.0
Test_830,0.0,0.0,1.0,0.0
Test_1615,0.0,0.0,0.0,1.0
Test_961,0.0,0.0,0.0,1.0
Test_1554,0.0,0.0,1.0,0.0
Test_1241,1.0,0.0,0.0,0.0
Test_1161,0.0,0.0,1.0,0.0
Test_1446,1.0,0.0,0.0,0.0
Test_1350,1.0,0.0,0.0,0.0
Test_766,0.0,0.0,0.0,1.0
Test_1628,0.0,0.0,1.0,0.0
Test_1124,0.0,0.0,1.0,0.0
Test_1539,0.0,0.0,1.0,0.0
Test_784,0.0,0.0,1.0,0.0
Test_1326,0.0,0.0,0.0,1.0
Test_974,0.0,0.0,0.0,1.0
Test_1173,0.0,0.0,0.0,1.0
Test_434,0.0,0.0,0.0,1.0
Test_1113,0.0,0.0,1.0,0.0
Test_1434,0.0,0.0,1.0,0.0
Test_484,1.0,0.0,0.0,0.0
Test_435,1.0,0.0,0.0,0.0
Test_1532,1.0,0.0,0.0,0.0
Test_861,0.0,0.0,1.0,0.0
Test_1533,0.0,0.0,1.0,0.0
Test_1754,1.0,0.0,0.0,0.0
Test_632,1.0,0.0,0.0,0.0
Test_1634,0.0,1.0,0.0,0.0
Test_1666,0.0,0.0,1.0,0.0
Test_320,0.0,0.0,1.0,0.0
Test_1651,0.0,0.0,0.0,1.0
Test_1450,1.0,0.0,0.0,0.0
Test_1430,1.0,0.0,0.0,0.0
Test_609,1.0,0.0,0.0,0.0
Test_1796,0.0,0.0,1.0,0.0
Test_919,0.0,0.0,0.0,1.0
Test_1730,1.0,0.0,0.0,0.0
Test_963,1.0,0.0,0.0,0.0
Test_694,0.0,0.0,0.0,1.0
Test_283,0.0,0.0,1.0,0.0
Test_169,0.0,0.0,1.0,0.0
Test_1769,1.0,0.0,0.0,0.0
Test_257,0.0,0.0,1.0,0.0
Test_788,1.0,0.0,0.0,0.0
Test_739,0.0,0.0,1.0,0.0
Test_428,0.0,0.0,0.0,1.0
Test_1209,0.0,0.0,1.0,0.0
Test_1384,0.0,0.0,0.0,1.0
Test_583,1.0,0.0,0.0,0.0
Test_645,1.0,0.0,0.0,0.0
Test_622,0.0,0.0,1.0,0.0
Test_1136,0.0,0.0,0.0,1.0
Test_74,1.0,0.0,0.0,0.0
Test_520,0.0,1.0,0.0,0.0
Test_1727,1.0,0.0,0.0,0.0
Test_168,0.0,1.0,0.0,0.0
Test_1218,0.0,0.0,0.0,1.0
Test_8,0.0,1.0,0.0,0.0
Test_347,0.0,0.0,1.0,0.0
Test_606,0.0,0.0,0.0,1.0
Test_88,0.0,0.0,0.0,1.0
Test_612,0.0,0.0,1.0,0.0
Test_751,0.0,0.0,1.0,0.0
Test_668,0.0,0.0,1.0,0.0
Test_827,0.0,0.0,1.0,0.0
Test_725,0.0,0.0,0.0,1.0
Test_516,0.0,0.0,1.0,0.0
Test_65,0.0,0.0,1.0,0.0
Test_670,0.0,0.0,1.0,0.0
Test_691,1.0,0.0,0.0,0.0
Test_1029,1.0,0.0,0.0,0.0
Test_159,0.0,0.0,1.0,0.0
Test_939,1.0,0.0,0.0,0.0
Test_1785,0.0,0.0,0.0,1.0
Test_370,0.0,0.0,1.0,0.0
Test_419,1.0,0.0,0.0,0.0
Test_1088,0.0,0.0,1.0,0.0
Test_557,0.0,1.0,0.0,0.0
Test_890,0.0,0.0,1.0,0.0
Test_908,0.0,0.0,0.0,1.0
Test_1291,0.0,0.0,0.0,1.0
Test_616,0.0,0.0,0.0,1.0
Test_1440,0.0,1.0,0.0,0.0
Test_314,0.0,0.0,0.0,1.0
Test_840,0.0,0.0,1.0,0.0
Test_1198,0.0,0.0,1.0,0.0
Test_1577,0.0,0.0,1.0,0.0
Test_1789,1.0,0.0,0.0,0.0
Test_1400,0.0,0.0,0.0,1.0
Test_828,0.0,0.0,1.0,0.0
Test_1757,0.0,0.0,0.0,1.0
Test_630,1.0,0.0,0.0,0.0
Test_139,1.0,0.0,0.0,0.0
Test_811,1.0,0.0,0.0,0.0
Test_1077,1.0,0.0,0.0,0.0
Test_789,0.0,0.0,1.0,0.0
Test_903,0.0,0.0,1.0,0.0
Test_229,0.0,0.0,1.0,0.0
Test_316,0.0,0.0,1.0,0.0
Test_148,1.0,0.0,0.0,0.0
Test_245,0.0,0.0,1.0,0.0
Test_1478,0.0,0.0,1.0,0.0
Test_996,0.0,0.0,1.0,0.0
Test_1416,1.0,0.0,0.0,0.0
Test_607,0.0,0.0,0.0,1.0
Test_1469,1.0,0.0,0.0,0.0
Test_950,0.0,0.0,0.0,1.0
Test_3,1.0,0.0,0.0,0.0
Test_374,0.0,0.0,1.0,0.0
Test_1596,1.0,0.0,0.0,0.0
Test_422,0.0,0.0,0.0,1.0
Test_1052,0.0,0.0,0.0,1.0
Test_1735,0.0,0.0,1.0,0.0
Test_1216,0.0,0.0,1.0,0.0
Test_190,0.0,0.0,1.0,0.0
Test_436,0.0,0.0,0.0,1.0
Test_773,0.0,0.0,1.0,0.0
Test_1778,1.0,0.0,0.0,0.0
Test_222,0.0,0.0,1.0,0.0
Test_13,1.0,0.0,0.0,0.0
Test_1061,1.0,0.0,0.0,0.0
Test_574,0.0,0.0,0.0,1.0
Test_1207,0.0,0.0,0.0,1.0
Test_1121,0.0,0.0,1.0,0.0
Test_771,0.0,0.0,1.0,0.0
Test_392,0.0,0.0,1.0,0.0
Test_887,1.0,0.0,0.0,0.0
Test_215,0.0,0.0,0.0,1.0
Test_1200,0.0,0.0,1.0,0.0
Test_92,1.0,0.0,0.0,0.0
Test_704,0.0,0.0,1.0,0.0
Test_1082,0.0,0.0,0.0,1.0
Test_730,0.0,1.0,0.0,0.0
Test_1750,0.0,0.0,0.0,1.0
Test_1591,1.0,0.0,0.0,0.0
Test_1106,1.0,0.0,0.0,0.0
Test_886,1.0,0.0,0.0,0.0
Test_977,0.0,0.0,0.0,1.0
Test_1243,0.0,0.0,1.0,0.0
Test_1560,1.0,0.0,0.0,0.0
Test_716,0.0,0.0,0.0,1.0
Test_1477,0.0,0.0,0.0,1.0
Test_146,0.0,0.0,1.0,0.0
Test_1385,0.0,0.0,0.0,1.0
Test_200,0.0,0.0,1.0,0.0
Test_80,0.0,1.0,0.0,0.0
Test_698,1.0,0.0,0.0,0.0
Test_984,0.0,0.0,0.0,1.0
Test_824,1.0,0.0,0.0,0.0
Test_876,0.0,0.0,0.0,1.0
Test_705,0.0,0.0,1.0,0.0
Test_1421,0.0,0.0,0.0,1.0
