image_id,healthy,multiple_diseases,rust,scab
Test_0,0.0,0.0,1.0,0.0
Test_5,1.0,0.0,0.0,0.0
Test_8,0.0,1.0,0.0,0.0
Test_9,0.0,0.0,1.0,0.0
Test_21,1.0,0.0,0.0,0.0
Test_55,0.0,0.0,0.0,1.0
Test_75,0.0,0.0,0.0,1.0
Test_80,0.0,1.0,0.0,0.0
Test_84,0.0,0.0,0.0,1.0
Test_99,0.0,0.0,0.0,1.0
Test_100,0.0,0.0,0.0,1.0
Test_103,0.0,0.0,0.0,1.0
Test_104,0.0,0.0,0.0,1.0
Test_105,0.0,0.0,0.0,1.0
Test_119,1.0,0.0,0.0,0.0
Test_125,0.0,0.0,0.0,1.0
Test_136,0.0,0.0,0.0,1.0
Test_144,1.0,0.0,0.0,0.0
Test_166,0.0,0.0,1.0,0.0
Test_168,0.0,1.0,0.0,0.0
Test_173,0.0,0.0,1.0,0.0
Test_179,0.0,0.0,1.0,0.0
Test_181,0.0,0.0,0.0,1.0
Test_184,0.0,0.0,0.0,1.0
Test_186,0.0,0.0,0.0,1.0
Test_201,0.0,0.0,0.0,1.0
Test_214,0.0,0.0,1.0,0.0
Test_230,0.0,0.0,0.0,1.0
Test_238,0.0,1.0,0.0,0.0
Test_245,0.0,0.0,1.0,0.0
Test_247,0.0,0.0,0.0,1.0
Test_254,0.0,0.0,0.0,1.0
Test_266,0.0,0.0,0.0,1.0
Test_291,0.0,0.0,1.0,0.0
Test_298,0.0,0.0,1.0,0.0
Test_299,0.0,1.0,0.0,0.0
Test_320,0.0,0.0,1.0,0.0
Test_328,0.0,0.0,1.0,0.0
Test_335,1.0,0.0,0.0,0.0
Test_346,0.0,0.0,1.0,0.0
Test_351,0.0,0.0,1.0,0.0
Test_361,1.0,0.0,0.0,0.0
Test_372,0.0,0.0,0.0,1.0
Test_373,0.0,0.0,1.0,0.0
Test_379,0.0,0.0,1.0,0.0
Test_382,0.0,0.0,0.0,1.0
Test_385,0.0,0.0,0.0,1.0
Test_397,0.0,0.0,0.0,1.0
Test_404,0.0,0.0,0.0,1.0
Test_457,0.0,0.0,0.0,1.0
Test_461,0.0,0.0,0.0,1.0
Test_464,1.0,0.0,0.0,0.0
Test_489,0.0,0.0,1.0,0.0
Test_491,0.0,0.0,1.0,0.0
Test_496,1.0,0.0,0.0,0.0
Test_499,0.0,0.0,1.0,0.0
Test_514,1.0,0.0,0.0,0.0
Test_517,0.0,0.0,0.0,1.0
Test_518,0.0,0.0,1.0,0.0
Test_529,0.0,0.0,0.0,1.0
Test_557,0.0,1.0,0.0,0.0
Test_558,0.0,0.0,1.0,0.0
Test_563,0.0,1.0,0.0,0.0
Test_570,0.0,0.0,0.0,1.0
Test_582,0.0,0.0,1.0,0.0
Test_591,0.0,0.0,1.0,0.0
Test_592,1.0,0.0,0.0,0.0
Test_596,1.0,0.0,0.0,0.0
Test_597,0.0,0.0,0.0,1.0
Test_609,1.0,0.0,0.0,0.0
Test_662,0.0,0.0,0.0,1.0
Test_667,1.0,0.0,0.0,0.0
Test_676,1.0,0.0,0.0,0.0
Test_707,0.0,0.0,0.0,1.0
Test_711,1.0,0.0,0.0,0.0
Test_713,0.0,1.0,0.0,0.0
Test_719,0.0,0.0,1.0,0.0
Test_727,0.0,1.0,0.0,0.0
Test_731,0.0,0.0,1.0,0.0
Test_733,0.0,1.0,0.0,0.0
Test_748,0.0,0.0,0.0,1.0
Test_751,0.0,0.0,1.0,0.0
Test_790,0.0,1.0,0.0,0.0
Test_811,1.0,0.0,0.0,0.0
Test_819,0.0,0.0,1.0,0.0
Test_829,0.0,0.0,0.0,1.0
Test_831,0.0,0.0,1.0,0.0
Test_833,0.0,0.0,1.0,0.0
Test_850,0.0,0.0,1.0,0.0
Test_859,0.0,0.0,0.0,1.0
Test_870,0.0,1.0,0.0,0.0
Test_895,1.0,0.0,0.0,0.0
Test_918,0.0,0.0,1.0,0.0
Test_921,0.0,1.0,0.0,0.0
Test_924,0.0,0.0,0.0,1.0
Test_932,0.0,1.0,0.0,0.0
Test_934,0.0,1.0,0.0,0.0
Test_945,1.0,0.0,0.0,0.0
Test_946,0.0,0.0,1.0,0.0
Test_948,1.0,0.0,0.0,0.0
Test_949,1.0,0.0,0.0,0.0
Test_950,0.0,0.0,0.0,1.0
Test_963,1.0,0.0,0.0,0.0
Test_964,0.0,0.0,1.0,0.0
Test_966,0.0,1.0,0.0,0.0
Test_968,0.0,0.0,1.0,0.0
Test_975,1.0,0.0,0.0,0.0
Test_992,0.0,0.0,0.0,1.0
Test_994,0.0,0.0,0.0,1.0
Test_995,0.0,1.0,0.0,0.0
Test_1016,0.0,0.0,1.0,0.0
Test_1027,0.0,0.0,0.0,1.0
Test_1035,0.0,0.0,1.0,0.0
Test_1039,0.0,0.0,0.0,1.0
Test_1040,0.0,0.0,0.0,1.0
Test_1043,0.0,0.0,1.0,0.0
Test_1088,0.0,0.0,1.0,0.0
Test_1094,1.0,0.0,0.0,0.0
Test_1116,0.0,0.0,1.0,0.0
Test_1128,0.0,0.0,1.0,0.0
Test_1131,1.0,0.0,0.0,0.0
Test_1141,0.0,0.0,0.0,1.0
Test_1157,0.0,0.0,0.0,1.0
Test_1167,0.0,0.0,1.0,0.0
Test_1168,0.0,0.0,1.0,0.0
Test_1170,0.0,1.0,0.0,0.0
Test_1176,0.0,0.0,0.0,1.0
Test_1193,0.0,1.0,0.0,0.0
Test_1199,0.0,0.0,1.0,0.0
Test_1212,0.0,0.0,0.0,1.0
Test_1222,0.0,0.0,1.0,0.0
Test_1224,0.0,1.0,0.0,0.0
Test_1236,0.0,0.0,0.0,1.0
Test_1242,0.0,0.0,0.0,1.0
Test_1247,0.0,0.0,1.0,0.0
Test_1249,0.0,0.0,1.0,0.0
Test_1255,0.0,1.0,0.0,0.0
Test_1262,1.0,0.0,0.0,0.0
Test_1273,1.0,0.0,0.0,0.0
Test_1285,1.0,0.0,0.0,0.0
Test_1286,1.0,0.0,0.0,0.0
Test_1293,0.0,1.0,0.0,0.0
Test_1303,0.0,0.0,1.0,0.0
Test_1304,0.0,0.0,1.0,0.0
Test_1324,1.0,0.0,0.0,0.0
Test_1332,0.0,0.0,0.0,1.0
Test_1336,0.0,0.0,1.0,0.0
Test_1339,1.0,0.0,0.0,0.0
Test_1343,0.0,0.0,0.0,1.0
Test_1348,0.0,1.0,0.0,0.0
Test_1357,0.0,0.0,1.0,0.0
Test_1359,1.0,0.0,0.0,0.0
