image_id,healthy,multiple_diseases,rust,scab
Test_0,0.0008080977104876455,0.01266177203989274,0.9864877776967154,4.233410258515214e-05
Test_1,1.7211358624437247e-05,0.0012557685612238048,0.9987221310536066,4.904802821670272e-06
Test_2,2.3212866427652694e-05,0.00042417384519113607,3.0366167493609296e-06,0.9995495577653248
Test_3,0.9903029402097067,1.2504446399614408e-05,0.00953068283560141,0.00015389746182689932
Test_4,0.00042469079279625375,0.0024583081847393056,0.9970063202910953,0.00011065332307680364
Test_5,0.9890071368879743,0.001473010591199555,0.008276938839243384,0.0012428794135404234
Test_6,0.954960005150901,0.001241205591062074,0.0422527950465034,0.0015459892233088291
Test_7,3.671655352851152e-05,0.031134521778792786,0.00026794864978506457,0.9685608082347446
Test_8,4.846464026305361e-05,0.9373201214604907,0.00021832244566313524,0.06241311967864425
Test_9,0.00010035850185219662,0.005643769495388067,0.9942451682355669,1.0685192295609468e-05
Test_10,0.0005219071004012064,0.002149310887388209,0.9972798642184999,4.893664314901495e-05
Test_11,0.9890140758620368,0.0002587338229697404,0.01043731994448333,0.000289841979875089
Test_12,0.009912102803355083,0.05972639257864405,6.271975126676606e-05,0.9302987936470243
Test_13,0.9769321233034134,0.004811283527513094,0.01710118518177397,0.001155371136127946
Test_14,0.00015308816589825684,0.03634970067165947,0.9634888784752952,8.347509843057804e-06
Test_15,7.003838111864348e-05,0.0011607558379991031,0.9987650182512071,4.198711135611827e-06
Test_16,0.995687969856792,0.0002542311526857096,0.003698790175298604,0.00035900416009542683
Test_17,0.00021809895032573777,0.14575437342541087,0.007198191962541185,0.846829331583447
Test_18,0.01792461001847793,0.061285912280355764,0.0071855329871242345,0.9136039565006893
Test_19,7.896087824121878e-05,0.00418119764880329,0.9957177655564414,2.2051989074296013e-05
Test_20,3.055192439130019e-05,0.00136366331576533,4.3860859856573786e-06,0.9986013902558222
Test_21,0.9832064376937019,0.00015136621554271792,0.014867721110312636,0.0017744791286828684
Test_22,0.0002618981484627309,0.056143861522691116,0.9435893545548122,4.9065451241700784e-06
Test_23,9.769669145182686e-06,0.00019818691498585392,3.1228985319684293e-06,0.9997889366414812
Test_24,0.9952300555176206,0.003401635314730811,0.0006742913754149211,0.0006940566807619083
Test_25,4.103779292879355e-05,0.0012522244356003083,3.0356735708083863e-05,0.9986763613091574
Test_26,0.002771975540478403,0.0676204929332016,0.0014171311371076931,0.9281904018587537
Test_27,0.0002166628392059364,0.005704336107505191,0.994050328930219,2.8682176584027275e-05
Test_28,0.9988627384106319,8.914994702675157e-05,0.0009304662514561339,0.00011766263715015964
Test_29,0.0011539063270902261,0.38790029080377686,0.6102337266008059,0.0007120894620634823
Test_30,0.9996036407020357,8.121444797224183e-05,0.0001670557123310977,0.0001481103599871858
Test_31,1.6993594043255045e-05,0.05438103752870423,0.9455917196141349,1.02186962733539e-05
Test_32,0.002658804194652475,0.11633593299322659,0.018840074794651527,0.8621651828289032
Test_33,1.1549160319029244e-05,0.0012367027487003826,8.923550107040353e-06,0.998742828766505
Test_34,0.006890803168870559,0.015119896014867764,0.000594384774937377,0.9773949136336645
Test_35,2.6792117366348913e-05,0.0008731916904151956,2.0573820466718296e-06,0.9990979135036469
Test_36,0.00015915969782377538,0.0015616318637007175,0.9981886247793834,9.058906650554694e-05
Test_37,0.0004651323917465157,0.013253394840931933,1.1052651578660447e-05,0.9862704343265957
Test_38,2.105581070308313e-06,0.0007862751706208353,1.3157515211248416e-06,0.9992103046841092
Test_39,6.329104941945238e-05,0.00024230214704503951,0.9996844033400218,1.002529918676171e-05
Test_40,9.953914694464507e-06,0.0005033653481416107,0.9994835224416521,3.150872624442987e-06
Test_41,8.73877182938385e-05,0.00493369966069521,0.9949686990843879,1.0179788678973031e-05
Test_42,0.0001872919477897818,0.017700027413714754,7.94198899393625e-06,0.9821047650443183
Test_43,0.0020304608879718623,0.002640911905069111,0.995313318239318,1.5300332342525915e-05
Test_44,0.005216458109013427,0.9547217355834113,0.023547262722988516,0.016514578830942307
Test_45,0.00019487410160460664,0.16008278695193845,0.0002554402276489201,0.8394668913549848
Test_46,0.5032942568262417,0.07097807640416755,0.0031290869212373053,0.42259858631425434
Test_47,0.00042467641489925734,0.006885810441518616,0.9925911840465333,9.830038162779905e-05
Test_48,0.00031832494384313276,0.0025121466044058455,0.9971005171537399,6.899281489817591e-05
Test_49,8.146041139727659e-05,0.00024827380871607195,0.9996566110187106,1.3629398741462259e-05
Test_50,5.9842634805641464e-05,0.008209954294013895,0.9916996392938825,3.057612934753706e-05
Test_51,1.1072345204057558e-05,0.0015548448187069476,0.9984315087397894,2.5527573335182296e-06
Test_52,5.8936968218977384e-05,0.0027324855368533463,0.9972063253323237,2.247855214508752e-06
Test_53,1.9330116156704128e-05,0.0006766754639342151,0.9993008292383618,3.1647505181414063e-06
Test_54,0.007206406222798653,0.8997857554091347,0.04987623842640056,0.0431316031091329
Test_55,5.795317406409595e-05,0.0009789095654721474,1.9678394814882773e-05,0.9989434762133492
Test_56,0.00036222625889574067,0.022897793887144267,0.00017778247043528,0.9765621622403462
Test_57,0.9162283953693178,0.007175745886747286,0.06753276071807097,0.009063092702288285
Test_58,3.8278853354414525e-05,0.0008417490569046195,1.806626451599729e-06,0.9991181625260247
Test_59,0.0007231249231457089,0.0648445984374525,0.933152655760447,0.0012796367603489975
Test_60,4.950204729927935e-06,0.0012030615493661876,1.0495575928483171e-05,0.9987815072139105
Test_61,0.9955983377165265,0.000874530678831636,0.002894164892040863,0.0006329663006504738
Test_62,0.0001745072403862322,0.02729921397056185,0.001219902724642452,0.9713063753313489
Test_63,0.00011770231605447005,0.02732349727820191,6.8492319194035645e-06,0.9725519567728043
Test_64,0.75132683912913,0.0006238207865515556,0.230502112844988,0.01754721402171021
Test_65,4.2004334432022006e-05,0.008297105410343243,0.9916398078203201,2.1076548174341842e-05
Test_66,0.994121993581454,0.00015188691547033764,0.005604277549233908,0.00012187438513756711
Test_67,0.0002313059417247132,0.0011849823517372394,0.99856269856294,2.098401519785082e-05
Test_68,4.159091518987326e-05,0.34119502729218865,0.0002460946244827116,0.6585172853536077
Test_69,4.3136152359895474e-05,0.002013723012472231,0.9979314241144392,1.168392785346997e-05
Test_70,5.805137079227684e-05,0.04415285407513795,3.1577817960876724e-05,0.9557575186093649
Test_71,0.1799191589523414,0.004776183850885395,0.8151010225216547,0.00020366141857645442
